"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Polymer Waveguide-Based Crossing Waveguides and Adiabatic-Tapered Directional Couplers for Fiber Compatible Optical Interconnect","X. Liu; Q. Huang; B. Xiao; Q. Huang; J. Ran; Z. Qiu; S. Liang; Q. Chen; W. Jiang; Z. Zheng; X. Dong; S. Ertman; Y. Qin","Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; School of Materials and Energy, Guangdong University of Technology, Guangzhou, China; School of Microelectronics Science and Technology, Sun Yat-sen University, Zhuhai, China; School of Microelectronics Science and Technology, Sun Yat-sen University, Zhuhai, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; School of Materials and Energy, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Department of Optics and Photonics, Faculty of Physics, Warsaw University of Technology, Warsaw, Poland; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China",IEEE Photonics Journal,"15 May 2025","2025","17","3","1","7","Photonic integrated circuits have intrinsic merits of high integration, large bandwidth, and flexible design, which play an important role in optical communication systems for the interconnect. To increase the integration and routing of photonic circuits for manipulating the guide modes, we propose a simple and effective fiber compatible crossing waveguide to optimize the device layouts. To demonstrate the idea, we fabricated the device through optical lithography, and then optimized the processing parameters based on the analysis of image processing after fabrication, where the fabricated device shows an insertion loss lower than a maximum 1.0 dB with the crossing waveguides perpendicular to each other and operation wavelength from 1450 nm to 1630 nm for the operation of the E21 and E11 modes. The device offers the ability to manipulate guide modes without being affected by the waveguide crossing, which can provide a powerful way to form fiber compatible integrated photonic circuits.","1943-0655","","10.1109/JPHOT.2025.3564794","National Natural Science Foundation of China(grant numbers:62205067); Chinese-Polish SHENG 3(grant numbers:NSFC 62361136584 / NCN 2023/48/Q/ST7/00242); Guangdong Introducing Innovative and Entrepreneurial Teams of “The Pearl River Talent Recruitment Program”(grant numbers:2019ZT08X340); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10977837","Crossing waveguides;adiabatic tapered DCs;image processing algorithm;photonic integrated circuits","Optical waveguides;Insertion loss;Propagation losses;Photonics;Optical fiber devices;Planar waveguides;Photonic integrated circuits;Polymers;Optical interconnections;Optical fiber couplers","","2","","38","CCBY","28 Apr 2025","June 2025","","IEEE","IEEE Journals"
"Integrated Sensing and Communication (ISAC) Transceiver: Hardware Architectures, Enabling Technologies, and Emerging Trends","K. Wu; Y. Bigdeli; S. A. Keivaan; J. Deng; P. Burasa","PolyGrames Research Center, Electrical Engineering Department, Polytechnique Montreal, Montreal, QC, Canada; PolyGrames Research Center, Electrical Engineering Department, Polytechnique Montreal, Montreal, QC, Canada; PolyGrames Research Center, Electrical Engineering Department, Polytechnique Montreal, Montreal, QC, Canada; PolyGrames Research Center, Electrical Engineering Department, Polytechnique Montreal, Montreal, QC, Canada; PolyGrames Research Center, Electrical Engineering Department, Polytechnique Montreal, Montreal, QC, Canada","IEEE Journal of Selected Topics in Electromagnetics, Antennas and Propagation","3 Nov 2025","2025","1","1","37","64","Integrated sensing and communication (ISAC)—also known as radar-communication (RadCom), joint radar-communication (JRC), and other related variants—has rapidly emerged as a transformative paradigm for future wireless systems. By unifying sensing and communication functions within a shared transceiver framework, ISAC addresses the growing demands for spectral efficiency, multifunctional interplay, situational awareness, and hardware reuse. This convergence is poised to enable emerging and future wireless intelligence-driven applications ranging from intelligent transportation and autonomous factories to beyond-5G and 6G smart self-adaptive networks. This article presents a comprehensive, hardware-centric review of ISAC transceiver technologies. We trace the historical evolution of ISAC systems, survey current transceiver architectures, and analyze key enabling components across diverse frequency bands and application scenarios. Specific focus is given to transceiver design strategies, radio frequency (RF) front-end architectures, antenna arrays, and integration techniques. Emerging technologies—such as multifunctional arrays, photonic integration, and reconfigurable intelligent surfaces—are also examined for their role in enhancing ISAC performance and scalability. By synthesizing the current state-of-the-art and highlighting open challenges, this review aims to serve as a valuable reference for researchers and engineers working toward the development of next-generation ISAC hardware platforms.","3066-2494","","10.1109/JSTEAP.2025.3610564","National Science and Engineering Research Council (NSERC) of Canada; Fonds de Recherches du Quebec-Nature et Technologies (FRQNT); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11169758","5G and 6G;antenna sharing;cognitive sensing;hardware codesign;integrated sensing and communication (ISAC);joint radar-communication (JRC);millimeter-wave (mmW);multifunction transceiver;phased-array transceiver;radar and communication (RadCom);reconfigurable hardware;radio frequency (RF) front-end;spectrum sharing;terahertz (THz);virtual receiver matrix (VRM)","Integrated sensing and communication;Radar;Hardware;Transceivers;Wireless communication;6G mobile communication;Wireless sensor networks;Reviews;Radio frequency;Data communication","","1","","130","CCBY","18 Sep 2025","Sept. 2025","","IEEE","IEEE Journals"
"Inverse Design of Incoherent Raman Pump Sources for U-Band WDM Transmission Over 125 km G.652.D Fiber","T. Lan; J. Xiang; G. Zhou; M. Xiang; S. Fu; Y. Qin","Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China",IEEE Photonics Journal,"18 Sep 2024","2024","16","5","1","6","The ever-increasing demand for the transmission capacity has stimulated intensive investigations, in terms of both new transmission window of standard single mode fiber (SSMF) and new fiber utilizing the spatial domain. Multi-band wavelength division multiplexing (WDM) transmission exploring the extended wavelength band, besides traditional C+L band, is an attractive solution for the rapid and cost-effective enhancement of transmission capacity. To this end, here we demonstrate the U-band WDM transmission over 125-km G.652.D fiber, when the C-band amplified spontaneous emission (ASE) source acts as the incoherent pump for Raman amplification (RA). Meanwhile, bidirectional long short-term memory neural network (BiLSTM-NN) is applied to inversely design the spectral shape of two C-band ASE sources. After the optimization through inverse design, the ROP variation at the U-band can be less than 1.2 dB under different net Raman gains. Consequently, we can experimentally achieve a net Raman gain of ∼15 dB over a 3 dB bandwidth of around 2.1 THz at the U-band, under the condition of distributed bidirectional Raman pump configuration. Finally, the performance of the U-band RA is experimentally verified by transmitting three-wavelength 20 GBaud DP-QPSK signals, when the threshold of 7% HD-FEC can be successfully reached.","1943-0655","","10.1109/JPHOT.2024.3453870","National Natural Science Foundation of China(grant numbers:U21A20506,62205068); Guangdong Introducing Innovative and Entrepreneurial Teams of “The Pearl River Talent Recruitment Program”(grant numbers:2021ZT09X044); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10663998","Raman amplifier;neural network;inverse design;WDM transmission","Gain;Optical fiber amplifiers;Stimulated emission;Wavelength division multiplexing;Shape;Spectral shape;C-band","","","","21","CCBY","3 Sep 2024","Oct. 2024","","IEEE","IEEE Journals"
"A Unified Future: Integrated Sensing and Communication (ISAC) in 6G","A. Ghosh; T. Wild; J. Du; J. Tan; A. Grudnitsky; D. Chizhik; S. Mandelli; Y. Xing; F. Schaich; H. Viswanathan","Nokia Standards, Naperville, IL, USA; Nokia Bell Labs Stuttgart, Stuttgart, Germany; Nokia Bell Labs Murray Hill, Murray Hill, NJ, USA; Nokia Standards, Naperville, IL, USA; Nokia Bell Labs Stuttgart, Stuttgart, Germany; Nokia Bell Labs Murray Hill, Murray Hill, NJ, USA; Nokia Bell Labs Stuttgart, Stuttgart, Germany; Nokia Standards, Naperville, IL, USA; Nokia Bell Labs Stuttgart, Stuttgart, Germany; Nokia Bell Labs Murray Hill, Murray Hill, NJ, USA","IEEE Journal of Selected Topics in Electromagnetics, Antennas and Propagation","3 Nov 2025","2025","1","1","365","374","Integrated sensing and communication (ISAC) is among the early feature areas being explored for 6G in third generation partnership project (3GPP) standards. It involves the seamless integration of communication and sensing functions within a unified system architecture, where a single base station (also known as gNB), is inherently capable of supporting both roles. This article reviews recent developments in ISAC within 3GPP, focusing on key use cases and relevant channel models, including target and background environment channels. It provides an overview of different sensing topologies and outlines ISAC requirements across various deployment contexts. The discussion then extends to link budget analysis, waveform design, beamforming strategies, and associated hardware considerations. Last, the article highlights several proof-of-concept (PoC) systems that showcase practical implementations of ISAC concepts.","3066-2494","","10.1109/JSTEAP.2025.3603540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11145172","5G new radio (NR);6G;integrated sensing and communication (ISAC);ISAC channel model;link budgets (LBs);proof-of-concept (PoC);radar cross section (RCS);sensing architectures","3GPP;Integrated sensing and communication;6G mobile communication;Accuracy;Channel models;Autonomous aerial vehicles;Monitoring;Mathematical models;Radar cross-sections;Production facilities","","","","41","CCBY","29 Aug 2025","Sept. 2025","","IEEE","IEEE Journals"
"Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform","J. Zhang; M. Lei; M. Zhu; Q. Zhou; B. Hua; Y. Cai; H. Li; J. Zhang; Z. Liang; Y. Li; X. Chen; J. Ding; Q. Zhong; S. Zhu; J. Yu","National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; Pervasive Communication Research Center, Purple Mountain Laboratories, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; Pervasive Communication Research Center, Purple Mountain Laboratories, Nanjing, China; Pervasive Communication Research Center, Purple Mountain Laboratories, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; Pervasive Communication Research Center, Purple Mountain Laboratories, Nanjing, China; Pervasive Communication Research Center, Purple Mountain Laboratories, Nanjing, China; National Mobile Communications Research Laboratory, Southeast University, Nanjing, China; Institute of Intelligent Photonics, Nankai University, Tianjin, China; Key Laboratory for Information Science of Electromagnetic Waves, Fudan University, Shanghai, China",IEEE Open Journal of the Communications Society,"21 Apr 2025","2025","6","","2993","3003","The advancement of integrated sensing and communications (ISAC) technology into millimeter-wave and even terahertz (THz) bands will be crucial for the upcoming sixth-generation wireless access networks. Here, we propose and experimentally demonstrate a photonics-assisted THz ISAC system based on a time-frequency efficient dual-function waveform. The key to designing the ISAC waveform is embedding the subcarrier communication signals in the idle time-frequency dimension of a linear frequency-modulated continuous wave (LFMCW). This subcarrier-chirp inter-embedded (SCIE) method makes full use of the idle time-frequency resources of the LFMCW without compromising its large timebandwidth product, thereby significantly enhancing the time-frequency efficiency of the LFMCW. The experimental findings demonstrate that owing to the novel and simple communication embedding, wireless transmission of an 88-Gbps data rate over a distance of 10.2 m in the 150-GHz band is successfully realized. Simultaneously, multi-user detection with an 8-mm ranging resolution is also realized. By fully utilizing the idle time-frequency resources of the LFMCW, a density of information-resolution quotient of up to 46.2 × 10-2 bit·s/m2 has been achieved. Furthermore, the proposed ISAC system exhibits good frequency tunability and flexible communication modulation formats.","2644-125X","","10.1109/OJCOMS.2025.3545896","National Key Research and Development Program of China(grant numbers:2023YFB2905605); National Natural Science Foundation of China(grant numbers:62201393,62435003,62201397); Natural Science Foundation of Jiangsu Province(grant numbers:BK20220210,BE2023001,BK20221194); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10904178","D-band;THz;integrated sensing and communication (ISAC);LFMCW;photonicsassisted","Multiuser detection;Time-frequency analysis;Wireless sensor networks;OFDM;Wireless networks;Millimeter wave technology;Integrated sensing and communication;Millimeter wave communication;Terahertz communications;Photonics","","1","","27","CCBY","26 Feb 2025","2025","","IEEE","IEEE Journals"
"6-DoF Location-and-Pose Estimation Toward Integrated Visible Light Communication and Sensing: Algorithm Design and Performance Limits","B. Zhou; X. Wang; Y. Shen; P. Fan","School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China; School of Electronics and Communication Engineering, Sun Yat-sen University, Shenzhen, China; Department of Electronic Engineering and the Beijing National Research Center for Information Science and Technology, Tsinghua University, Beijing, China; Information Coding & Transmission Key Lab of Sichuan Province, Southwest Jiaotong University, Chengdu, China",IEEE Transactions on Signal Processing,"4 Jul 2024","2024","72","","2576","2593","Visible light communication (VLC) is envisioned as an important technique for short-range communications, but its potential for user device (UD) localization is not fully exploited, which is challenging due to diffuse-scattering interference and random fading. In this paper, we focus on the 6 degree-of-freedom (DoF) UD state estimation (i.e., 3D location and 3D pose angles) based on VLC. Specifically, a novel successive convex approximation (SCA)-based optimization algorithm is proposed, where UD location, pose angles and channel state are simultaneously estimated. Thus, the disturbance of random fading and diffuse-scattering interference for UD localization is alleviated via VLC-assisted channel equalization, and hence our SCA-based 6-DoF state detection solution outperforms state-of-the-art baselines. In addition, a unified performance analysis framework is established for VLC-based 6-DoF state detection, and structured information models are exploited for tractable performance quantification. A closed-form Cramer-Rao lower bound on UD localization error and pose angle estimate error is established respectively, and the impact of measurement noise, scattering interference, bandwidth, the quantities of photodiodes and light-emitting-diodes, etc, on the VLC-based UD state detection performance is analysed. Our closed-form analysis cannot only shed lights on the performance limits of VLC-based 6D state detection, but also gain insights into the impact of system configuration and fading environments.","1941-0476","","10.1109/TSP.2024.3383285","Major Talent Program of Guangdong Province(grant numbers:2021QN02X074); National Natural Science Foundation of China(grant numbers:62371478); National Key Laboratory of Wireless Communications Foundation(grant numbers:IFN20230101); Tsinghua University-Meituan Joint Institute for Digital Life; National Natural Science Foundation of China(grant numbers:U23A20274); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10502364","6D state detection;visible light communications;diffuse scattering;integrated sensing and communication","Vectors;Scattering;Light emitting diodes;6-DOF;Visible light communication;Interference;Fading channels","","5","","45","CCBY","16 Apr 2024","2024","","IEEE","IEEE Journals"
"C-Band 200 Gbit/s/λ PS-PAM-8 Transmission Over 2-km SSMF for Optical Interconnections","X. Huo; M. Xiang; G. Zhou; J. Li; J. Li; Y. Qin; S. Fu","Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China",IEEE Photonics Journal,"17 Apr 2024","2024","16","3","1","7","Driven by the exponential increase of network traffic, the demand for the capacity enhancement of photonic data-center interconnection (DCI) becomes more and more urgent. The utilization of high-order modulation format is ideally preferred to enhance the transmission capacity, considering the bandwidth constraint of optoelectrical devices. Whereas, using high-order modulation format also imposes stringent requirement on signal-to-noise ratio (SNR). By introducing probabilistic shaping (PS) technique, we can realize a shaping gain as well as adaptive data rate for the photonic DCI. Nonetheless, when PS is employed for the intensity modulation direct detection (IMDD) system, the optimal probability shaping distribution is not compatible with the distribution of forward error correction (FEC) code. Here, we derive a new probability mass function (PMF) suitable for the IMDD system to realize the cooperation of PS and FEC, based on the establishment of Lagrange function. In comparison with the uniformly distributed eight-level pulse amplitude modulation (PAM-8) signal, a certain generalized mutual information (GMI) gain can be experimentally achieved utilizing Optimized pairwise Maxwell-Boltzmann PAM-8 (Optimized PMB-PAM-8) with derived PMF under the condition of same bit-rate. After 2-km standard single-mode fiber (SSMF) transmission, the net data rate can be increased from 197 Gbit/s of uniformly distributed PAM-8 to 212 Gbit/s by the use of Optimized PMB-PAM-8, which can satisfy the requirement of 200G per lane optical interconnections.","1943-0655","","10.1109/JPHOT.2024.3381232","National Key R&D Program of China(grant numbers:2021YFB2900702); National Natural Science Foundation of China(grant numbers:62075046,62025502); Guangdong Introducing Innovative and Entrepreneurial Teams of “The Pearl River Talent Recruitment Program”(grant numbers:2021ZT09X044); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10478608","Probabilistic shaping;data-center Interconnection (DCI);intensity-modulation direct-detection (IMDD) system","Photonics;Symbols;Signal to noise ratio;Modulation;Forward error correction;Bandwidth;Codes","","4","","22","CCBYNCND","26 Mar 2024","June 2024","","IEEE","IEEE Journals"
"Advanced Integration of Sensing and Communication With High DSP Compatibility for SMART Network","Y. Wu; L. Sun; J. Cai; W. Wang; L. Zhang; R. Xu; G. Xu; G. Ning Liu; Y. Cai; H. Huang; G. Shen","School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China; School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China; School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China; School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China; School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China; Ocean College, Zhejiang University, Zhoushan, Zhejiang, China; Jiangsu Shenyuan Ocean Information Technology and Equipment Innovation Center Company Ltd.,, Suzhou, China; School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China; School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China; Ocean College, Zhejiang University, Zhoushan, Zhejiang, China; School of Electronic and Information Engineering, Soochow University, Suzhou, Jiangsu, China",IEEE Photonics Technology Letters,"6 Aug 2025","2025","37","21","1249","1252","Concept of the Scientific Monitoring and Reliable Telecommunications (SMART) network involves utilizing submarine communication cables to monitor the undersea environment. Traditionally, this integrated sensing and communication (ISAC) application has relied on separate wavelength bands for sensing information switching among all sensing joints and shores, necessitating additional hardware to exchange and demodulate the sensing information. In this study, we introduce a novel ISAC configuration tailored for the SMART network, with demonstrating the viability of detecting modulated sensing information using a communication-compatible digital signal processor (DSP). By applying frequency modulation (FM) and optical single-sideband (SSB) modulation to the sensing information obtained by the electronic sensors, we convert the information into multiple frequency subcarriers that reside near the communication spectrum without interference. We experimentally validated the proposed ISAC configuration using a two-span single-mode fiber (SMF) communication link, achieving real-time temperature monitoring on an FPGA platform at the sensing joint between two 50-km span SMFs. Furthermore, our findings indicate that employing high-order frequency subcarriers and an analog frequency multiplier for frequency chirp amplification of the FM sensing information enhances temperature estimation accuracy when using the communication-compatible DSP. With this approach, we achieved a temperature monitoring resolution of 0.0625°C, which matches the resolution limit of the DS18B20 sensing probe used, while maintaining full compatibility with 16-GBaud DP-QAM16 coherent communication data transmissions. At last, the scalability of the proposed ISAC configuration for the multiple-span SMART cable is further discussed.","1941-0174","","10.1109/LPT.2025.3593343","National Natural Science Foundation of China(grant numbers:62475178); Yangtze River Delta Region Integration Project(grant numbers:2024CSJGG2600); Young Elite Scientists Sponsorship Program by China Association for Science and Technology (CAST)(grant numbers:2023QNRC001); Open Program of the State Key Laboratory of Photonics and Communications at Shanghai Jiao Tong University(grant numbers:2024GZKF009); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11098821","Optical fiber sensing;subsea monitoring;frequency modulation","Sensors;Frequency modulation;Temperature sensors;Monitoring;Optical modulation;Optical fiber sensors;Amplitude modulation;Telecommunications;Frequency estimation;Temperature measurement","","","","12","CCBY","28 Jul 2025","1 Nov.1, 2025","","IEEE","IEEE Journals"
"Tailoring the Generalized 2D Airy Beam","J. Zheng; R. Zhao; C. Zhang; M. Xiang; G. Zhou; Y. Xu; S. Fu; Y. Qin","Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China",IEEE Photonics Journal,"1 Apr 2024","2024","16","2","1","6","Generalized two-dimensional (2D) Airy beam is a kind of self-accelerating beam with variable initial angle between its two wings, manifested itself as an initial angle determined parabolic trajectory during the free-space propagation. However, the independent and flexible manipulation of both the transverse optical field and longitudinal trajectory of the generalized 2D Airy beam has not been achieved yet which limits its application in the various fields. Herein, we report on tailoring of the propagation properties of the generalized 2D Airy beam based on the catastrophe theory, where analytical expression of its propagation trajectory is derived. In order to clarify the relationship between the transverse optical field distribution and the longitudinal trajectory, we analytically put forward a generation vector, facilitating the tailoring of both longitudinal trajectory and transverse distribution of optical field simultaneously. Consequently, we can effectively generate the generalized 2D Airy beam and precisely manipulate the evolution of its peak intensity. Once the initial and terminal points of trajectory are determined in advance, we can flexibly tailor the trajectory of 2D Airy beam, with the help of corresponding generation vector. Meanwhile, when the longitudinal trajectory is fixed, we can flexibly rotate the transverse optical field distribution of the generalized 2D Airy beam and manipulate its initial angle. Experimental verifications of the manipulation capabilities for the longitudinal trajectory, initial angle, and the rotation of transverse optical field are provided to validate our theoretical results.","1943-0655","","10.1109/JPHOT.2024.3378960","National Natural Science Foundation of China(grant numbers:62025502); Guangdong Introducing Innovative and Entrepreneurial Teams of “The Pearl River Talent Recruitment Program”(grant numbers:2021ZT09X044); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10475415","Airy beam;transverse optical field;longitudinal trajectory","Trajectory;Vectors;Optical imaging;Optical diffraction;Optical propagation;Integrated optics;Optical beams","","1","","22","CCBY","19 Mar 2024","April 2024","","IEEE","IEEE Journals"
"Superpixel Technique Enabled Spatial Phase Modulation Equalization for Power-Efficient Vortex Beam Generation","R. Zhao; J. Zheng; C. Zhang; M. Xiang; G. Zhou; Y. Xu; Y. Qin; S. Fu","Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China; Institute of Advanced Photonics Technology, School of Information Engineering, Guangdong University of Technology, Guangzhou, China",IEEE Photonics Journal,"10 Apr 2024","2024","16","2","1","5","Realizing a spatial phase modulation (SPM) from 0 to 2π is vital for achieving precise light field manipulation, when the phase-only spatial light modulator (SLM) is driven by the voltage. However, insufficient bias voltage degrades the quality of the generated structured light. Here, we propose a superpixel method that consists of 2 × 2 adjacent pixels to equalize the imperfect SPM response, when the bias voltage is insufficient. Meanwhile, a look-up table (LUT) is established between the target light field and the superpixel equalized light field, for reducing the computational complexity of phase hologram generation. When the phase modulation depth is reduced from 2π to 1.67π, we can generate the vortex beams with better quality by the superpixel technique. Characterizing the spatial phase distribution of vortex beams through interferometry verifies the correct function of the superpixel enabled SPM equalization method. In addition, the peak signal-to-noise ratio (PSNR) is used as the metric to quantitatively evaluate the quality of the generated vortex beam. Compared with the phase modulation distortion caused by the insufficient bias voltage, the PSNR after the superpixel enabled SPM equalization is improved by 4.5 dB. Our results would facilitate various applications mediated by power-efficient phase modulation utilizing the SLM.","1943-0655","","10.1109/JPHOT.2024.3381547","National Natural Science Foundation of China(grant numbers:U22A2087); Guangdong Introducing Innovative and Entrepreneurial Teams of “The Pearl River Talent Recruitment Program”(grant numbers:2021ZT09X044); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10478533","Superpixel technique;spatial phase modulation;spatial light modulator;vortex beam","Phase modulation;Light fields;Table lookup;Voltage;Computational complexity;Vectors;PSNR","","1","","15","CCBY","25 Mar 2024","April 2024","","IEEE","IEEE Journals"
